Player,Rec,Yds,TD,20+,40+,LNG,Rec 1st,1st%,Rec FUM,Rec YAC/R,Tgts
Collin Johnson,1,6,0,0,0,6,1,100,0,3,2
Charlie Jones,1,5,0,0,0,5,0,0,0,0,1
Marcus Jones,1,18,0,0,0,18,1,100,0,25,1
Velus Jones Jr.,1,8,0,0,0,8,0,0,0,13,1
Ramel Keyton,1,7,0,0,0,7,1,100,0,0,3
Jacob Kibodi,1,15,0,0,0,15,1,100,0,11,3
JC Latham,1,0,0,0,0,0,0,0,0,4,1
Marcedes Lewis,1,2,0,0,0,2,1,100,0,1,1
MarShawn Lloyd,1,3,0,0,0,3,0,0,0,8,1
Vederian Lowe,1,4,1,0,0,4,1,100,0,0,1
Patrick Mahomes,1,2,0,0,0,2,0,0,0,3,1
Tay Martin,1,49,1,1,1,49,1,100,0,5,2
David Martin-Robinson,1,6,0,0,0,6,1,100,0,6,2
Anthony Miller,1,16,0,0,0,16,1,100,0,1,1
Keaton Mitchell,1,28,0,1,0,28,1,100,0,33,1
Wanya Morris,1,1,1,0,0,1,1,100,0,0,1
Bo Nix,1,2,1,0,0,2,1,100,0,0,1
Kendric Pryor,1,9,0,0,0,9,0,0,0,0,1
Anthony Richardson,1,-1,0,0,0,-1,0,0,0,7,1
Chris Rodriguez Jr.,1,12,0,0,0,12,1,100,0,11,1
John Ross,1,6,0,0,0,6,1,100,0,2,2
Cody Schrader,1,6,0,0,0,6,0,0,0,6,1
Trent Scott,1,1,1,0,0,1,1,100,0,0,1
Tyler Scott,1,5,0,0,0,5,0,0,0,7,1
Tyrell Shavers,1,69,1,1,1,69,1,100,0,71,1
John Shenker,1,7,0,0,0,7,0,0,0,3,1
Dan Skipper,1,9,1,0,0,9,1,100,0,8,1
Tyler Smith,1,0,0,0,0,0,0,0,0,6,1
Geoff Swaim,1,7,0,0,0,7,0,0,0,5,1
Trent Taylor,1,11,0,0,0,11,0,0,0,2,1
Juanyeh Thomas,1,4,0,0,0,4,0,0,0,0,1
Brycen Tremayne,1,-2,0,0,0,-2,0,0,0,0,1
Ben VanSumeren,1,0,0,0,0,0,0,0,0,0,1
Devontez Walker,1,21,1,1,0,21,1,100,0,0,3
Casey Washington,1,14,0,0,0,14,1,100,0,11,2
Blake Watson,1,13,0,0,0,13,0,0,0,18,2
Jared Wiley,1,7,0,0,0,7,0,0,0,3,1
Shane Zylstra,1,22,0,1,0,22,1,100,0,13,1
Rasheen Ali,0,0,0,0,0,0,0,0,0,0,2
Josh Allen,0,7,1,0,0,7,1,0,0,7,0
Brenden Bates,0,0,0,0,0,0,0,0,0,0,1
Andrew Beck,0,0,0,0,0,0,0,0,0,0,2
Braxton Berrios,0,0,0,0,0,0,0,0,0,0,4
Jake Brendel,0,2,0,0,0,2,1,0,1,0,0
Irvin Charles,0,0,0,0,0,0,0,0,0,0,1
Baylor Cupp,0,0,0,0,0,0,0,0,0,0,1
Taylor Decker,0,0,0,0,0,0,0,0,0,0,1
Erik Ezukanma,0,0,0,0,0,0,0,0,0,0,2
Justin Fields,0,0,0,0,0,0,0,0,0,0,0
Sam Franklin Jr.,0,0,0,0,0,0,0,0,0,0,1
Zach Frazier,0,-2,0,0,0,-2,0,0,0,-2,0
C.J. Goodwin,0,0,0,0,0,0,0,0,0,0,1
Lamar Jackson,0,0,0,0,0,0,0,0,0,0,0
Terrell Jennings,0,0,0,0,0,0,0,0,0,0,1
Kameron Johnson,0,0,0,0,0,0,0,0,0,0,1
Daniel Jones,0,0,0,0,0,0,0,0,0,0,0
Tom Kennedy,0,0,0,0,0,0,0,0,0,0,1
Trevor Lawrence,0,-5,0,0,0,-5,0,0,1,-5,0
Jordan Matthews,0,0,0,0,0,0,0,0,0,0,1
Baker Mayfield,0,0,0,0,0,0,0,0,0,0,0
Skyy Moore,0,0,0,0,0,0,0,0,0,0,3
James Pierre,0,0,0,0,0,0,0,0,0,0,1
Adam Prentice,0,0,0,0,0,0,0,0,0,0,4
Dominick Puni,0,-3,0,0,0,-3,1,0,0,0,0
Justyn Ross,0,0,0,0,0,0,0,0,0,0,1
Isaac Seumalo,0,0,0,0,0,0,0,0,0,0,0
C.J. Stroud,0,0,0,0,0,0,0,0,0,0,1
Stephen Sullivan,0,0,0,0,0,0,0,0,0,0,1
